Post Content,Followers,User Bio,Age,Location,Hashtags,Engagement,Sentiment
Everything is falling apart and I don't know what to do.,33142,Lifestyle guru and content creator.,30,London,"['#workout', '#love', '#adventure']",840,0
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,"['#hate', '#selfcare', '#love']",633,2
So excited about my new adventure in life!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#grateful', '#newbeginnings']",761,1
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,"['#hate', '#blessed', '#selfcare']",435,0
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,"['#life', '#motivation', '#hate']",548,1
"No matter what I do, nothing seems to work out.",33142,Lifestyle guru and content creator.,30,London,['#newbeginnings'],833,0
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#hate'],1333,1
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#adventure'],913,2
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,"['#love', '#travel']",988,0
I can't believe how bad today was. Everything went wrong.,703,Just another social media user.,34,New York,"['#books', '#life', '#workout']",1064,0
I can't believe how bad today was. Everything went wrong.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#selfcare', '#tech', '#food']",915,0
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#hate', '#tech']",725,2
Just got my dream job! Feeling on top of the world!,703,Just another social media user.,34,New York,"['#newbeginnings', '#tech', '#fitness', '#lifeisgood']",1389,1
Catch me at the gym later today.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#hate', '#selfcare', '#newbeginnings', '#positivity']",830,2
"No matter what I do, nothing seems to work out.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#dreams', '#motivation', '#fitness', '#life']",950,0
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#adventure']",1011,1
I can't believe how far I've come. So grateful!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#books', '#fitness', '#motivation']",961,1
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#weekend', '#dreams', '#lifeisgood']",956,2
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#positivity', '#fitness', '#blessed']",444,1
I just took a walk in the park. Feeling good.,33142,Lifestyle guru and content creator.,30,London,['#travel'],1055,2
"So proud of my progress, everything is falling into place!",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#weekend', '#blessed', '#workout']",1245,1
I can't believe how far I've come. So grateful!,33142,Lifestyle guru and content creator.,30,London,"['#books', '#blessed']",1219,1
Spent the afternoon doing some reading. A pretty chill day.,33142,Lifestyle guru and content creator.,30,London,"['#life', '#adventure', '#lifeisgood']",824,2
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#motivation'],886,0
I can't shake this feeling of failure. I feel stuck.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#life', '#dreams', '#positivity']",791,0
I can't believe how bad today was. Everything went wrong.,703,Just another social media user.,34,New York,"['#workout', '#newbeginnings']",716,0
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#tech', '#travel', '#dreams']",727,1
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#newbeginnings'],1014,1
Started a new project today. Let's see how it goes.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#dreams']",665,2
I can't shake this feeling of failure. I feel stuck.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#workout', '#positivity', '#hate', '#grateful']",712,0
Disappointed with the way things are turning out.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#lifeisgood'],618,0
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,['#travel'],430,0
It's a regular Monday.,703,Just another social media user.,34,New York,"['#blessed', '#inspiration', '#workout', '#travel']",683,2
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#fitness', '#books', '#food']",338,2
Spent the afternoon doing some reading. A pretty chill day.,703,Just another social media user.,34,New York,"['#books', '#workout', '#motivation']",603,2
"No matter what I do, nothing seems to work out.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#motivation', '#positivity']",844,0
Disappointed with the way things are turning out.,33142,Lifestyle guru and content creator.,30,London,"['#newbeginnings', '#travel']",244,0
Spent the afternoon doing some reading. A pretty chill day.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#selfcare'],564,2
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#fitness', '#books', '#adventure']",150,2
Started a new project today. Let's see how it goes.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#lifeisgood'],1095,2
I can't believe how bad today was. Everything went wrong.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#food']",789,0
I just took a walk in the park. Feeling good.,33142,Lifestyle guru and content creator.,30,London,"['#food', '#hate', '#selfcare']",790,2
"So proud of my progress, everything is falling into place!",33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#newbeginnings', '#books']",815,1
Nothing beats the feeling of accomplishing your goals!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#blessed', '#workout', '#weekend', '#lifeisgood']",1307,1
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,"['#dreams', '#inspiration', '#travel', '#lifeisgood']",834,0
Spent the afternoon doing some reading. A pretty chill day.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#books', '#tech', '#dreams', '#adventure']",589,2
Went to a coffee shop today. The vibe was nice.,703,Just another social media user.,34,New York,"['#lifeisgood', '#positivity', '#love', '#life']",1026,2
Catch me at the gym later today.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#love'],723,2
I can't believe how far I've come. So grateful!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#inspiration', '#travel', '#workout', '#selfcare']",727,1
Just finished a long day at work. Time to relax.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#blessed'],756,2
Life is so beautiful right now!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#newbeginnings', '#tech']",588,1
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,"['#travel', '#weekend', '#inspiration', '#love']",1160,0
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,"['#grateful', '#food', '#dreams', '#weekend']",581,0
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#travel', '#adventure']",835,1
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,"['#adventure', '#hate', '#blessed', '#travel']",824,0
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#positivity']",1320,1
Nothing beats the feeling of accomplishing your goals!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#dreams', '#weekend']",1399,1
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#selfcare', '#tech', '#hate', '#blessed']",533,0
Just got my dream job! Feeling on top of the world!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#tech', '#food', '#hate']",1357,1
Disappointed with the way things are turning out.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#newbeginnings'],557,0
Catch me at the gym later today.,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#weekend', '#dreams']",1043,2
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#life', '#books']",1122,1
Went to a coffee shop today. The vibe was nice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#books', '#grateful', '#travel', '#love']",271,2
I just finished reading an amazing book that changed my perspective!,703,Just another social media user.,34,New York,"['#workout', '#tech', '#dreams']",1043,1
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,['#grateful'],1081,0
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#weekend', '#blessed', '#newbeginnings', '#dreams']",1030,1
Catch me at the gym later today.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#hate', '#adventure', '#love']",622,2
Disappointed with the way things are turning out.,33142,Lifestyle guru and content creator.,30,London,['#love'],1001,0
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#fitness', '#dreams', '#travel']",774,0
Disappointed with the way things are turning out.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#tech', '#positivity', '#life']",746,0
It's a regular Monday.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#blessed'],589,2
This has been the worst week ever. I need a break!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#adventure', '#dreams']",546,0
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,['#motivation'],634,2
"Feeling so down, things aren't going well.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#tech', '#weekend']",1167,0
It's a regular Monday.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#life', '#selfcare', '#travel']",982,2
I can't believe how far I've come. So grateful!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#love', '#food', '#positivity', '#travel']",889,1
I can't believe how far I've come. So grateful!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#motivation', '#tech', '#life', '#hate']",907,1
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#tech', '#weekend', '#lifeisgood']",1034,1
Disappointed with the way things are turning out.,703,Just another social media user.,34,New York,"['#blessed', '#hate', '#workout', '#books']",977,0
Disappointed with the way things are turning out.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#workout'],592,0
I can't shake this feeling of failure. I feel stuck.,703,Just another social media user.,34,New York,"['#inspiration', '#hate', '#fitness']",228,0
Disappointed with the way things are turning out.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#grateful']",620,0
Spent the afternoon doing some reading. A pretty chill day.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#blessed'],612,2
"Feeling so down, things aren't going well.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#tech'],1259,0
Went to a coffee shop today. The vibe was nice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#tech', '#workout', '#motivation', '#food']",636,2
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#selfcare'],770,0
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#grateful', '#positivity', '#hate', '#workout']",499,1
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#travel'],154,2
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#positivity', '#travel']",382,2
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,"['#hate', '#workout', '#life', '#weekend']",305,0
This has been the worst week ever. I need a break!,33142,Lifestyle guru and content creator.,30,London,"['#workout', '#grateful', '#blessed']",1127,0
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#travel', '#lifeisgood']",836,1
Spent the afternoon doing some reading. A pretty chill day.,703,Just another social media user.,34,New York,"['#selfcare', '#fitness', '#positivity', '#hate']",1021,2
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,['#inspiration'],889,1
Just finished a long day at work. Time to relax.,703,Just another social media user.,34,New York,"['#books', '#life', '#positivity']",521,2
I can't believe how far I've come. So grateful!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#newbeginnings', '#hate', '#fitness', '#travel']",946,1
I can't believe how bad today was. Everything went wrong.,703,Just another social media user.,34,New York,['#travel'],404,0
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,"['#books', '#weekend', '#motivation']",542,0
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#love', '#books', '#workout', '#inspiration']",571,0
Just finished a long day at work. Time to relax.,33142,Lifestyle guru and content creator.,30,London,['#hate'],340,2
"No matter what I do, nothing seems to work out.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#adventure', '#tech', '#dreams']",563,0
Spent the afternoon doing some reading. A pretty chill day.,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#dreams', '#grateful']",947,2
Life is so beautiful right now!,33142,Lifestyle guru and content creator.,30,London,['#tech'],612,1
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#grateful'],959,1
I can't shake this feeling of failure. I feel stuck.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#adventure'],1020,0
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#tech', '#grateful', '#dreams', '#hate']",770,1
Here's a picture of my new lunch. #yum,33142,Lifestyle guru and content creator.,30,London,"['#adventure', '#workout']",753,2
So excited about my new adventure in life!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#hate', '#weekend']",1227,1
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#inspiration']",1185,1
I can't believe how far I've come. So grateful!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#love', '#books', '#motivation']",971,1
Nothing beats the feeling of accomplishing your goals!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#fitness'],633,1
"Feeling so down, things aren't going well.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#food', '#travel']",692,0
Today was amazing! I’m so grateful for everything.,703,Just another social media user.,34,New York,"['#love', '#newbeginnings']",935,1
I just finished reading an amazing book that changed my perspective!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#food', '#travel', '#weekend']",958,1
"No matter what I do, nothing seems to work out.",703,Just another social media user.,34,New York,"['#blessed', '#travel']",347,0
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#food', '#selfcare', '#inspiration']",462,0
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#workout', '#grateful', '#fitness']",912,0
So excited about my new adventure in life!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#travel', '#food', '#motivation', '#inspiration']",1197,1
Nothing beats the feeling of accomplishing your goals!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#hate', '#inspiration']",664,1
"No matter what I do, nothing seems to work out.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#tech']",628,0
I can't believe how bad today was. Everything went wrong.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#hate', '#grateful']",966,0
I can't believe how far I've come. So grateful!,703,Just another social media user.,34,New York,"['#fitness', '#selfcare', '#travel', '#tech']",1426,1
This has been the worst week ever. I need a break!,703,Just another social media user.,34,New York,"['#books', '#tech']",561,0
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#weekend', '#workout', '#food']",686,2
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#motivation', '#food', '#tech']",342,2
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#adventure', '#tech', '#positivity']",1071,2
Started a new project today. Let's see how it goes.,703,Just another social media user.,34,New York,"['#selfcare', '#blessed']",561,2
Went to a coffee shop today. The vibe was nice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#workout', '#selfcare', '#hate', '#love']",767,2
Started a new project today. Let's see how it goes.,33142,Lifestyle guru and content creator.,30,London,['#newbeginnings'],758,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#love', '#tech']",397,2
Spent the afternoon doing some reading. A pretty chill day.,703,Just another social media user.,34,New York,"['#selfcare', '#blessed', '#adventure', '#love']",840,2
It's a regular Monday.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#newbeginnings', '#life', '#food', '#adventure']",1024,2
Everything is falling apart and I don't know what to do.,703,Just another social media user.,34,New York,"['#dreams', '#weekend', '#food']",1155,0
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#food', '#motivation', '#positivity', '#grateful']",685,1
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,"['#blessed', '#motivation']",993,0
Just got my dream job! Feeling on top of the world!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#hate', '#tech']",1141,1
Today was amazing! I’m so grateful for everything.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#tech'],979,1
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#weekend', '#selfcare', '#books']",448,0
Just finished a long day at work. Time to relax.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#hate']",1012,2
I regret my decision. This was a terrible choice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#positivity', '#motivation', '#adventure', '#fitness']",477,0
Today was amazing! I’m so grateful for everything.,33142,Lifestyle guru and content creator.,30,London,"['#motivation', '#travel']",913,1
So excited about my new adventure in life!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#workout', '#newbeginnings', '#food']",1135,1
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#dreams'],636,0
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,"['#travel', '#hate', '#love']",635,0
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#love', '#inspiration']",466,0
This has been the worst week ever. I need a break!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#travel', '#life', '#love']",1061,0
So excited about my new adventure in life!,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#motivation']",1371,1
It's a regular Monday.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#dreams', '#hate']",896,2
So excited about my new adventure in life!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#weekend'],966,1
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#positivity', '#love', '#food', '#blessed']",1036,1
"No matter what I do, nothing seems to work out.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#motivation', '#fitness']",1163,0
I can't believe how bad today was. Everything went wrong.,33142,Lifestyle guru and content creator.,30,London,"['#newbeginnings', '#travel', '#life', '#adventure']",1232,0
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#weekend', '#motivation', '#workout', '#books']",318,2
I just took a walk in the park. Feeling good.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#hate'],965,2
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#travel'],492,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#newbeginnings', '#books', '#motivation']",454,2
I just finished reading an amazing book that changed my perspective!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#blessed'],1297,1
"So proud of my progress, everything is falling into place!",703,Just another social media user.,34,New York,"['#adventure', '#dreams', '#tech', '#blessed']",1564,1
Today was amazing! I’m so grateful for everything.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#books', '#adventure', '#fitness']",452,1
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,"['#food', '#inspiration']",564,1
It's a regular Monday.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#travel'],1069,2
Everything is falling apart and I don't know what to do.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#food', '#tech', '#weekend', '#positivity']",516,0
"So proud of my progress, everything is falling into place!",33142,Lifestyle guru and content creator.,30,London,"['#adventure', '#selfcare', '#positivity']",982,1
Just got my dream job! Feeling on top of the world!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#books', '#adventure']",831,1
Just finished a long day at work. Time to relax.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#motivation', '#books']",797,2
This has been the worst week ever. I need a break!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#motivation']",719,0
I regret my decision. This was a terrible choice.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#travel', '#motivation', '#adventure']",782,0
Just finished a long day at work. Time to relax.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#selfcare']",337,2
I just finished reading an amazing book that changed my perspective!,703,Just another social media user.,34,New York,"['#books', '#adventure', '#positivity']",1118,1
"No matter what I do, nothing seems to work out.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#books'],369,0
This has been the worst week ever. I need a break!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#food'],241,0
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#hate']",1113,1
"So proud of my progress, everything is falling into place!",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#adventure']",714,1
Today was amazing! I’m so grateful for everything.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#adventure', '#food']",842,1
Just got my dream job! Feeling on top of the world!,703,Just another social media user.,34,New York,"['#selfcare', '#adventure', '#love']",1052,1
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#blessed', '#life', '#selfcare']",1085,0
Everything is falling apart and I don't know what to do.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,['#inspiration'],1111,0
"No matter what I do, nothing seems to work out.",2049,Freelance photographer. Love the outdoors.,27,Paris,"['#dreams', '#positivity', '#life']",1132,0
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#grateful'],1321,1
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#travel', '#selfcare', '#workout']",1308,1
Here's a picture of my new lunch. #yum,2049,Freelance photographer. Love the outdoors.,27,Paris,['#weekend'],528,2
Nothing beats the feeling of accomplishing your goals!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#newbeginnings', '#travel', '#grateful', '#blessed']",1034,1
It's a regular Monday.,703,Just another social media user.,34,New York,"['#love', '#positivity', '#grateful', '#fitness']",373,2
Started a new project today. Let's see how it goes.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#food', '#workout']",195,2
I just took a walk in the park. Feeling good.,703,Just another social media user.,34,New York,"['#love', '#travel', '#adventure', '#grateful']",1031,2
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#lifeisgood', '#workout', '#hate']",433,2
Life is so beautiful right now!,703,Just another social media user.,34,New York,['#newbeginnings'],1174,1
Nothing beats the feeling of accomplishing your goals!,33142,Lifestyle guru and content creator.,30,London,"['#positivity', '#motivation', '#selfcare']",1041,1
"Feeling so down, things aren't going well.",2049,Freelance photographer. Love the outdoors.,27,Paris,['#weekend'],1139,0
Everything is falling apart and I don't know what to do.,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#food', '#life', '#tech', '#lifeisgood']",241,0
So excited about my new adventure in life!,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,['#dreams'],834,1
"Feeling so down, things aren't going well.",33142,Lifestyle guru and content creator.,30,London,['#travel'],423,0
Spent the afternoon doing some reading. A pretty chill day.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#grateful', '#tech']",893,2
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#adventure', '#blessed', '#life', '#hate']",603,1
I can't shake this feeling of failure. I feel stuck.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#dreams', '#tech']",434,0
Life is so beautiful right now!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#workout', '#blessed']",926,1
I can't shake this feeling of failure. I feel stuck.,33142,Lifestyle guru and content creator.,30,London,"['#fitness', '#motivation', '#adventure']",504,0
Disappointed with the way things are turning out.,703,Just another social media user.,34,New York,"['#positivity', '#dreams', '#fitness']",579,0
So excited about my new adventure in life!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#inspiration', '#hate', '#adventure', '#love']",997,1
Went to a coffee shop today. The vibe was nice.,33142,Lifestyle guru and content creator.,30,London,['#love'],1129,2
It's a regular Monday.,33142,Lifestyle guru and content creator.,30,London,"['#grateful', '#dreams', '#love']",348,2
"So proud of my progress, everything is falling into place!",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#newbeginnings', '#positivity', '#travel']",1153,1
"So proud of my progress, everything is falling into place!",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#books', '#weekend']",779,1
Just got my dream job! Feeling on top of the world!,33142,Lifestyle guru and content creator.,30,London,"['#dreams', '#inspiration', '#love', '#grateful']",1310,1
I just finished reading an amazing book that changed my perspective!,2049,Freelance photographer. Love the outdoors.,27,Paris,"['#selfcare', '#adventure', '#workout']",1029,1
So excited about my new adventure in life!,2049,Freelance photographer. Love the outdoors.,27,Paris,['#love'],1307,1
Went to a coffee shop today. The vibe was nice.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#blessed', '#motivation', '#dreams']",821,2
This has been the worst week ever. I need a break!,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#lifeisgood', '#positivity', '#dreams']",443,0
I can't believe how far I've come. So grateful!,33142,Lifestyle guru and content creator.,30,London,['#love'],892,1
I can't shake this feeling of failure. I feel stuck.,703,Just another social media user.,34,New York,"['#grateful', '#positivity', '#motivation', '#weekend']",785,0
I just finished reading an amazing book that changed my perspective!,703,Just another social media user.,34,New York,"['#inspiration', '#adventure', '#blessed', '#tech']",778,1
I just took a walk in the park. Feeling good.,7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#lifeisgood', '#blessed', '#weekend']",608,2
Just finished a long day at work. Time to relax.,33142,Lifestyle guru and content creator.,30,London,"['#inspiration', '#love']",1106,2
"Feeling so down, things aren't going well.",703,Just another social media user.,34,New York,"['#blessed', '#travel', '#books']",800,0
"No matter what I do, nothing seems to work out.",1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#adventure', '#grateful', '#weekend']",993,0
I just took a walk in the park. Feeling good.,33142,Lifestyle guru and content creator.,30,London,"['#newbeginnings', '#selfcare']",1058,2
Everything is falling apart and I don't know what to do.,1063,"Tech enthusiast, foodie, and travel lover.",31,San Francisco,"['#blessed', '#inspiration', '#positivity']",841,0
"No matter what I do, nothing seems to work out.",7662,"Fitness coach, motivator, and influencer.",22,Los Angeles,"['#fitness', '#newbeginnings']",876,0
I just took a walk in the park. Feeling good.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#fitness'],830,2
Just finished a long day at work. Time to relax.,2049,Freelance photographer. Love the outdoors.,27,Paris,['#life'],634,2
